Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park,sf,Category
For Sale Only,0.0,0.02768729641693811,0.03515625,0.0,0.0047539149888143175,0.0,0.04263565891472868,0.005306122448979592,0.028052805280528052,0.0,0.0,0.0,0.05914270211611503,0.0,0.005477308294209703,0.04983748645720477,0.019199122325836534,0.0,0.0,0.0,0.16723549488054607,0.18262586377097728,0.0562429696287964,0.010262257696693273,0.013966480446927373,0.13108614232209737,0.08641975308641975,0.0,0.0,0.0,0.019891500904159132,0.0048721071863581,0.0,0.0,0.06533776301218161,0.0,0.0,0.0485781990521327,0.0,0.0,0.0,0.025403327983782413,Housing
"Rented or Sold, Not Occupied",0.0872836719337848,0.07111834961997829,0.10881696428571429,0.13885898815931108,0.21700223713646533,0.09980682549903412,0.18071705426356588,0.17265306122448978,0.33828382838283827,0.29027196652719667,0.0,0.1143740340030912,0.326098752034726,0.4811218985976268,0.41784037558685444,0.14842903575297942,0.30718595721338454,0.3111111111111111,0.31490384615384615,0.44607843137254904,0.32764505119453924,0.1579466929911155,0.19910011248593926,0.5530216647662486,0.13966480446927373,0.24531835205992508,0.0,0.0,0.3256880733944954,0.589622641509434,0.07775768535262206,0.2904993909866017,0.08588957055214724,0.34720700985761227,0.14230343300110743,0.0,0.0,0.058056872037914695,0.0,0.0,0.0,0.21878959371568546,Housing
"For Seasonal, Recreation or Occasional Use",0.31677953348382243,0.3566775244299674,0.39146205357142855,0.04520990312163617,0.1389821029082774,0.03734707018673535,0.2713178294573643,0.36979591836734693,0.09075907590759076,0.11610878661087866,0.0,0.1561051004636785,0.07325013564839934,0.19741100323624594,0.12597809076682315,0.08270133622246298,0.13384530992868898,0.0,0.23076923076923078,0.14901960784313725,0.0,0.1125370187561698,0.07424071991001124,0.037628278221208664,0.027932960893854747,0.03745318352059925,0.0,0.0,0.2,0.13089622641509435,0.0,0.11632155907429964,0.044171779141104296,0.22782037239868566,0.14008859357696568,0.7762237762237763,0.5483870967741935,0.14099526066350712,0.0,0.0,0.0,0.16783512120956162,Housing
Other Vacant,0.38449962377727614,0.3262757871878393,0.16378348214285715,0.39181916038751347,0.29390380313199105,0.3834513844172569,0.4263565891472868,0.2146938775510204,0.5429042904290429,0.35669456066945604,0.5137614678899083,0.38794435857805254,0.2772653282691264,0.09385113268608414,0.07276995305164319,0.22824124232574936,0.21667580910586945,0.0,0.07211538461538461,0.12745098039215685,0.3242320819112628,0.2872655478775913,0.46231721034870643,0.2645381984036488,0.8184357541899442,0.4850187265917603,0.6584362139917695,0.8761061946902655,0.3467889908256881,0.21816037735849056,0.6889692585895117,0.4092570036540804,0.27361963190184047,0.35706462212486306,0.4778516057585825,0.22377622377622378,0.45161290322580644,0.3281990521327014,0.0,0.0,0.0,0.3096122983360081,Housing
Median Year Moved in to Unit (Own),2007.8933333333334,2010.2768640350878,2011.5152420800957,2005.0857142857142,2010.148054145516,2012.0588235294117,2008.8881909547738,2007.6957383548067,2008.2417582417581,2010.2094972067039,2010.1351351351352,2010.1629726205997,2011.7024886877828,2008.7694300518135,2007.5207933461293,2012.7086677367577,2010.110766504209,0.0,2004.3617021276596,2008.4827898550725,2004.5973154362416,2008.8624678663239,2005.5073586367157,2004.7695035460993,2003.364116094987,1999.920760697306,1998.857142857143,1996.5075376884422,2001.7260787992495,2001.439719079204,2001.3262195121952,2000.7813244402096,2012.436305732484,1999.5689655172414,2000.3604193971166,2004.8039215686274,0.0,2012.751154734411,0.0,0.0,0.0,2005.278493904962,Housing
Median Year Moved in to Unit (Rent),2012.4277660324171,2011.9467592592594,2015.4434464404524,2010.3385660731021,2012.9453351146738,2012.5435614109647,2014.4979312539783,2013.3177347715737,2013.2563025210084,2012.4864089398973,2013.4172885572139,2012.9070163487738,2013.1805664830842,2013.2825389550871,2012.5394456289978,2013.9950387221684,2012.4178847807395,2012.1608832807572,2012.1075837742505,2013.902942694889,2011.9823008849557,2015.0332480818415,2011.6160337552742,2011.5631163708088,2011.8562564632884,2011.1873156342183,2012.1378378378379,2009.4736842105262,2013.2285534062237,2012.4285146942018,2012.7737831858408,2011.7972315181016,2012.5982615268329,2012.1688432835822,2012.044689119171,2011.3963963963963,2014.454081632653,2014.834656084656,0.0,2013.888888888889,2005.6521739130435,2012.8290089775126,Housing
Percent in Same House Last Year,0.8565049377415199,0.7761594034024702,0.6857503042949052,0.9096194892176345,0.7663914521612433,0.8193928323990678,0.7350065602911923,0.7965669014084507,0.7985369140437001,0.8536398467432951,0.8365695792880259,0.6883749239196592,0.7848202396804261,0.7900242237392645,0.8339109570781125,0.7484382705901693,0.8329668745269077,0.749919328815747,0.7963502724622988,0.8430207149724674,0.9134581830871235,0.8128179043743642,0.9408007983036049,0.9165381806378317,0.9199055090033874,0.9289488067043177,0.9476147730187228,0.9489140751493496,0.8074577261604763,0.9205461778303409,0.9295883816750296,0.9059313348706124,0.6712559033058513,0.858875625721987,0.8689952349467637,0.9299226139294927,0.6625362509886633,0.8044807788317524,0.8655913978494624,0.5263157894736842,1.0,0.846699609500533,Housing
Percent Abroad Last Year,0.023787033061399742,0.006175716616173386,0.032646496261519733,0.006771178332229337,0.021207706006151853,0.014391887636203313,0.02137385194904135,0.006954225352112676,0.014342092597940129,0.013567725940951092,0.030744336569579287,0.03603164942178941,0.01422103861517976,0.010460251046025104,0.012218963831867057,0.027412460956764754,0.012597772411058646,0.006776379477250726,0.013813204916994044,0.005681321562800454,0.011515644992439223,0.012139708375720584,0.001097667456654609,0.003448835510833401,0.025271884471385272,0.0036957030945006897,0.00763016157989228,0.004075707665680308,0.011285197764873453,0.011423502849156005,0.006690327581283401,0.010312580066615423,0.022092371728167776,0.010011551790527531,0.006110211805476391,0.0017196904557179708,0.006063801740047456,0.016974538192710935,0.0,0.2894736842105263,0.0,0.012400403662370342,Housing
"Overcrowding, Renter Occupied Housing",0.08404558404558404,0.02789400278940028,0.09324062464379346,0.27277252364360377,0.07324412067463774,0.15311823053243645,0.018427652382510085,0.037095147371960104,0.040455120101137804,0.06500167242724941,0.051269765213224724,0.05193855157278712,0.03544336908187287,0.015914684167350288,0.022437841115827774,0.1052012929767852,0.10373044524669073,0.12460063897763578,0.06924754634678298,0.014234875444839857,0.04667721518987342,0.08534322820037106,0.1463455708992927,0.12268456375838926,0.21191709844559586,0.20351758793969849,0.16261682242990655,0.19529652351738241,0.024689596118167546,0.022418228592429253,0.11578947368421053,0.07207688200747464,0.07382399279765924,0.020980253878702396,0.06713068962359191,0.0,0.013523666416228399,0.09986654804270463,0.0,0.0,0.0423728813559322,0.08202052091554854,Housing
Single Family Housing,0.0770247060377857,0.06041977693861421,0.05897235106318897,0.0212283044058745,0.03148950349883372,0.011588468061051441,0.12702366127023662,0.13937762605042017,0.28664025927259634,0.04888352444176222,0.031211998378597488,0.11807193396226415,0.06902402000178587,0.13510253317249699,0.21636797169448505,0.05084425403225806,0.1495615338882283,0.2786885245901639,0.40569020021074814,0.35750063672637744,0.624547803617571,0.21684885931558937,0.5548323620676606,0.5566753143085212,0.8345054616190334,0.8193327630453379,0.8347091194968553,0.7724268177525968,0.37545209696036935,0.8757814075418431,0.7958643904784805,0.7378084555651424,0.18232044198895028,0.22316442605997933,0.32754545893020787,0.7600391772771793,0.28068916008614503,0.015246636771300448,0.0,0.14285714285714285,0.0,0.30303676157159026,Structure Type
