Category,Attribute,North Beach,Russian Hill,Financial District,Chinatown,Nob Hill,Tenderloin,Marina,Pacific Heights,Presidio Heights,Western Addition,Japantown,Lone Mountain/USF,Hayes Valley,Haight Ashbury,Castro/Upper Market,South of Market,Mission,Treasure Island,Twin Peaks,Noe Valley,Glen Park,Potrero Hill,Bayview Hunters Point,Bernal Heights,Outer Mission,Excelsior,Portola,Visitacion Valley,Inner Sunset,West of Twin Peaks,Oceanview/Merced/Ingleside,Sunset/Parkside,Lakeshore,Inner Richmond,Outer Richmond,Seacliff,Presidio,Mission Bay,Lincoln Park,Golden Gate Park,McLaren Park
Households,"Single Person Households, % of Total",0.464983325,0.408053134,0.445693547,0.41190097,0.556765265,0.661680548,0.469852021,0.482949668,0.362747138,0.474094374,0.616504854,0.327341533,0.432863655,0.313024444,0.383230362,0.528947368,0.343218913,0.173267327,0.422049957,0.341429498,0.315673895,0.28444576,0.233039832,0.223357982,0.150478998,0.143039359,0.183185658,0.170155039,0.33025423,0.177408924,0.193064905,0.21791562,0.363728676,0.287586574,0.320501823,0.17620651,0.126888218,0.357572877,0.471428571,0.708333333,0.527196653
Households,"Households with Children, % of Total",0.11291091,0.078455791,0.102151014,0.159693065,0.061126779,0.095529492,0.110211294,0.128911432,0.20541103,0.114841141,0.039717564,0.154367707,0.104123498,0.161255016,0.115798764,0.110845295,0.17310281,0.259075908,0.124892334,0.19180495,0.275048037,0.247003108,0.355974843,0.307198782,0.27678703,0.335732507,0.28209355,0.409883721,0.195700155,0.298986851,0.285913883,0.256604307,0.136677498,0.190836441,0.213918078,0.398428732,0.385196375,0.153833967,0.185714286,0,0.209205021
Households,"Households with 60 years and older, % of Total",0.365094489,0.354088834,0.218642117,0.58143912,0.273693186,0.326534081,0.228373702,0.278579789,0.337773153,0.384602209,0.572815534,0.309839167,0.201098218,0.218046942,0.252427184,0.271371611,0.25715127,0.255775578,0.381567614,0.281171781,0.367554214,0.21222436,0.442012579,0.314049587,0.529845247,0.507470845,0.552029672,0.454069767,0.319463746,0.49378458,0.522037343,0.478162464,0.33509342,0.354075653,0.427675316,0.428731762,0.124622356,0.150506971,0.442857143,0,0.631799163
Households,Average Household Size,1.879784024,1.881901204,1.856599097,2.082669755,1.670361383,1.609382968,1.861002724,1.854155287,2.162122789,1.912991351,1.54368932,2.284925891,1.99015748,2.306214277,1.979699912,1.804066986,2.405981827,2.9669967,2.025265576,2.160470937,2.364534724,2.241527305,3.161006289,2.714876033,3.660869565,3.585276968,3.324747579,3.727713178,2.341616938,2.762664367,3.458402134,2.908017116,2.452883834,2.389451252,2.451158053,2.81369248,3.1918429,2.040557668,1.728571429,1.3125,2.121338912
Households,Average Family Household Size,2.730615508,2.574184397,2.53360247,2.830841639,2.563796048,3.060203095,2.7117717,2.731744981,2.895225464,2.830603764,2.446601942,2.871604019,2.700963524,2.946236559,2.65512917,2.764253067,3.384126333,3.281456954,2.912162162,2.857904762,3.110173697,2.827931644,3.921726408,3.382823872,4.269077901,4.109325513,3.942146451,4.378677395,3.05379379,3.165246029,4.198756628,3.507139023,3.002079002,3.072089947,3.243895146,3.256150507,3.305291723,2.728786926,2.387096774,0,3.371681416
Housing,Total Number of Units,7360,11145,14459,7628,17456,20075,14786,14774,5238,13117,2535,6900,10641,9068,12443,14487,26179,688,3770,11638,3773,7310,12701,9877,6923,11475,4978,5308,12949,14811,8283,29612,5281,9876,20290,1020,1336,7244,79,48,251
Housing,Median Year Structure Built,1939,1939,2001.185885,1939,1939,1939,1939,1939,1939,1970.814573,1970.206093,1939,1939,1939,1939,1992.539728,1939,1960.914634,1963.878843,1939,1952.141393,1970.027624,1963.663426,1939,1939,1942.524189,1953.782337,1952.347041,1944.993293,1939,1944.23644,1945.137037,1956.848606,1939,1939,1939,1945.255814,2006.644279,1951.923077,1974,1973.409091
Housing,Owner Occupied,0.211370494,0.247405562,0.322297955,0.060952657,0.137141733,0.025497195,0.254730177,0.265470152,0.379396462,0.226599298,0.133715799,0.314411857,0.2026523,0.323604524,0.390909091,0.159489633,0.249873801,0,0.401665231,0.528784648,0.670326654,0.45389966,0.520419287,0.577207482,0.650405306,0.673196064,0.664125283,0.533914729,0.430965421,0.782568082,0.692747364,0.629875871,0.051380991,0.356419819,0.398563157,0.75308642,0.025679758,0.341730038,0.628571429,0,0.146443515
Housing,Renter Occupied,0.788629506,0.752594438,0.677702045,0.939047343,0.862858267,0.974502805,0.745269823,0.734529848,0.620603538,0.773400702,0.866284201,0.685588143,0.7973477,0.676395476,0.609090909,0.840510367,0.750126199,1,0.598334769,0.471215352,0.329673346,0.54610034,0.479580713,0.422792518,0.349594694,0.326803936,0.335874717,0.466085271,0.569034579,0.217431918,0.307252636,0.370124129,0.948619009,0.643580181,0.601436843,0.24691358,0.974320242,0.658269962,0.371428571,1,0.853556485
Housing,Vacant Units,0.144429348,0.135397039,0.218687323,0.094520189,0.126546746,0.120846824,0.081360747,0.132597807,0.082665139,0.1097812,0.106114398,0.080869565,0.092942393,0.093184826,0.089447882,0.134396355,0.091943925,0.119186047,0.076127321,0.07312253,0.034455341,0.075649795,0.061097551,0.068948061,0.019933555,0.043485839,0.025110486,0.027882442,0.055293845,0.060360543,0.049498974,0.045083074,0.067600833,0.049716484,0.080729423,0.126470588,0.008982036,0.1286582,0.113924051,0,0.047808765
